time,AAPL_Close,MSFT_Close,AMZN_Close,FB_Close,GOOGL_Close
2018-01-02 00:00:00-05:00,172.26,85.91,1189.0,181.43,1073.44
2018-01-03 00:00:00-05:00,172.18,86.33,1202.74,184.48,1091.42
2018-01-04 00:00:00-05:00,173.02,87.12,1209.64,184.32,1096.0
2018-01-05 00:00:00-05:00,174.96,88.11,1229.07,186.78,1110.29
2018-01-08 00:00:00-05:00,174.34,88.22,1246.95,188.25,1114.0
2018-01-09 00:00:00-05:00,174.33,88.23,1253.12,187.9,1113.61
2018-01-10 00:00:00-05:00,174.245,87.81,1254.29,187.84,1110.67
2018-01-11 00:00:00-05:00,175.27,88.06,1276.77,187.76,1112.05
2018-01-12 00:00:00-05:00,177.0,89.59,1305.2,179.4,1130.65
2018-01-16 00:00:00-05:00,176.2,88.38,1305.16,178.4,1130.65
2018-01-17 00:00:00-05:00,179.1,90.15,1295.0,177.58,1139.24
2018-01-18 00:00:00-05:00,179.27,90.12,1293.22,179.8,1135.98
2018-01-19 00:00:00-05:00,178.45,90.0,1294.58,181.29,1143.54
2018-01-22 00:00:00-05:00,177.01,91.61,1327.45,185.37,1163.92
2018-01-23 00:00:00-05:00,176.96,91.89,1363.05,189.38,1176.63
2018-01-24 00:00:00-05:00,174.22,91.84,1357.51,186.55,1171.29
2018-01-25 00:00:00-05:00,171.1,92.32,1377.31,187.46,1181.75
2018-01-26 00:00:00-05:00,171.45,94.04,1401.19,189.92,1187.21
2018-01-29 00:00:00-05:00,167.96,93.87,1417.68,185.96,1186.14
2018-01-30 00:00:00-05:00,166.96,92.77,1438.19,187.1,1177.49
2018-01-31 00:00:00-05:00,167.47,95.2,1451.39,186.93,1183.72
2018-02-01 00:00:00-05:00,167.7,94.24,1388.71,193.08,1180.02
2018-02-02 00:00:00-05:00,160.41,91.76,1429.87,190.275,1118.0
2018-02-05 00:00:00-05:00,156.49,88.0,1390.0,181.26,1062.88
2018-02-06 00:00:00-05:00,163.06,91.34,1442.84,185.43,1085.1
2018-02-07 00:00:00-05:00,159.52,89.58,1415.15,180.17,1055.29
2018-02-08 00:00:00-05:00,155.16,84.99,1350.51,171.595,1006.26
2018-02-09 00:00:00-05:00,156.22,88.15,1339.34,176.05,1045.85
2018-02-12 00:00:00-05:00,162.75,89.15,1386.97,176.4,1055.33
2018-02-13 00:00:00-05:00,164.3451,89.781,1413.66,173.15,1054.21
2018-02-14 00:00:00-05:00,167.36,90.83,1451.08,179.46,1073.32
2018-02-15 00:00:00-05:00,173.0,92.72,1461.76,179.96,1092.87
2018-02-16 00:00:00-05:00,172.45,91.93,1448.59,177.37,1096.27
2018-02-20 00:00:00-05:00,171.85,92.72,1468.36,176.01,1103.6
2018-02-21 00:00:00-05:00,171.01,91.5,1482.92,177.92,1113.6
2018-02-22 00:00:00-05:00,172.61,91.74,1484.59,178.99,1110.39
2018-02-23 00:00:00-05:00,175.56,94.07,1500.0,183.2911,1128.7
2018-02-26 00:00:00-05:00,178.98,95.43,1521.95,184.92,1144.2
2018-02-27 00:00:00-05:00,178.34,94.21,1512.0,181.46,1117.16
2018-02-28 00:00:00-05:00,178.13,93.77,1512.45,178.31,1104.03
2018-03-01 00:00:00-05:00,174.95,92.84,1492.0,175.93,1070.75
2018-03-02 00:00:00-05:00,176.28,93.04,1500.21,176.61,1083.41
2018-03-05 00:00:00-05:00,176.83,93.64,1523.61,180.41,1094.68
2018-03-06 00:00:00-05:00,176.68,93.32,1537.18,179.77,1100.9
2018-03-07 00:00:00-05:00,175.02,93.86,1544.9,183.72,1115.07
2018-03-08 00:00:00-05:00,176.95,94.43,1551.67,182.34,1129.38
2018-03-09 00:00:00-05:00,179.96,96.54,1578.94,185.21,1160.84
2018-03-12 00:00:00-04:00,181.73,96.76,1598.5,184.76,1166.24
2018-03-13 00:00:00-04:00,179.95,94.42,1588.13,181.88,1140.52
2018-03-14 00:00:00-04:00,178.485,93.85,1591.0,184.24,1148.94
2018-03-15 00:00:00-04:00,178.65,94.18,1582.75,183.86,1150.8
2018-03-16 00:00:00-04:00,177.89,94.49,1571.69,185.03,1134.43
2018-03-19 00:00:00-04:00,175.32,92.96,1545.58,172.57,1100.07
2018-03-20 00:00:00-04:00,175.25,93.14,1586.52,168.14,1096.21
2018-03-21 00:00:00-04:00,171.27,92.48,1582.93,169.4492,1093.56
2018-03-22 00:00:00-04:00,168.75,89.8,1544.92,164.91,1053.2
2018-03-23 00:00:00-04:00,164.96,87.13,1495.55,159.35,1026.73
2018-03-26 00:00:00-04:00,172.76,93.77,1555.87,160.0599,1054.09
